code,name,verdict,match_basis,db_id,db_name,matched_name
4016002,"Cải xanh, luộc",keep-no-match,none,,,
4017,"Cần ta, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4017_raw,Cần ta,Cần ta
4018,"Cần tây, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4018_raw,Cần tây,Cần tây
4019,"Chuối xanh, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4019_raw,Chuối xanh,Chuối xanh
4019002,"Chuối xanh, luộc",keep-usda-only,name,usda_9543_cooked,Chuối xanh luộc,Chuối xanh luộc
4020,"Củ cải đỏ, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4020_raw,Củ cải đỏ,Củ cải đỏ
4020002,"Củ cải đỏ, luộc",keep-no-match,none,,,
4021,"Củ cải trắng, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4021_raw,Củ cải trắng,Củ cải trắng
4021002,"Củ cải trắng, luộc",keep-usda-only,name,usda_11431_cooked,"Củ cải trắng kiểu Á, luộc chín, để ráo nước, không thêm muối.",củ cải trắng luộc
4022,"Củ cải trắng, khô",duplicate-vietnamese,name,fao_vn_2007_4022_raw,Củ cải trắng khô,Củ cải trắng khô
4023,"Củ đậu, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4023_raw,Củ đậu,Củ đậu
4024,"Củ niễng, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4024_raw,Củ niễng,Củ niễng
4025,"Dọc củ cải, non, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4025_raw,Dọc củ cải (non),Dọc củ cải (non)
4026,"Dọc mùng, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4026_raw,Dọc mùng,Dọc mùng
4027,"Dưa chuột, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4027_raw,Dưa chuột,Dưa chuột
4028,"Dưa gang, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4028_raw,Dưa gang,Dưa gang
4029,"Đậu cô ve, quả, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4029_raw,Đậu cô ve,Đậu cô ve
4029002,"Đậu cô ve, luộc",keep-usda-only,name,usda_11053_cooked,"Đậu que, đậu xanh, đã nấu chín, luộc, để ráo nước, không thêm muối.",đậu cô ve luộc
4030,"Đậu đũa, quả, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4030_raw,Đậu đũa,Đậu đũa
4030002,"Đậu đũa, luộc",keep-usda-only,name,usda_11779_cooked,"Đậu đũa, quả non có hạt, luộc chín, để ráo nước, thêm muối.",đậu đũa luộc
4031,"Đậu Hà Lan, quả, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4031_raw,Đậu Hà Lan,Đậu Hà Lan
4032,"Đậu rồng, quả non, tươi",duplicate-vietnamese,code-lineage,fao_vn_2007_4032_raw,Đậu rồng (quả non),Đậu rồng (quả non)
